path,change_class,matches_upstream_blob,matches_fork_blob,resolution
.github/release-tools/.gitignore,upstream-only,yes,no,exact upstream
.github/release-tools/README.md,upstream-only,yes,no,exact upstream
.github/release-tools/release-images.sh,upstream-only,yes,no,exact upstream
.github/release-tools/release_matrix.py,upstream-only,yes,no,exact upstream
.github/release-tools/requirements-release.txt,upstream-only,yes,no,exact upstream
.github/release-tools/test_release_matrix.py,upstream-only,yes,no,exact upstream
.github/workflows/backend-ci.yml,upstream-only,yes,no,exact upstream
.github/workflows/publish-custom-v027.yml,fork-only,yes,no,exact upstream
.github/workflows/publish-custom-v028.yml,integration-only,no,no,adapted custom integration
.github/workflows/release.yml,upstream-only,yes,no,exact upstream
.gitignore,overlap,no,no,adapted custom integration
Makefile,upstream-only,yes,no,exact upstream
README.md,overlap,no,no,adapted custom integration
README_CN.md,overlap,no,no,adapted custom integration
backend/cmd/server/VERSION,overlap,yes,no,exact upstream
backend/cmd/server/wire.go,overlap,no,no,adapted custom integration
backend/cmd/server/wire_gen.go,overlap,no,no,adapted custom integration
backend/cmd/server/wire_gen_test.go,overlap,no,no,adapted custom integration
backend/ent/client.go,fork-only,no,yes,retained fork
backend/ent/ent.go,fork-only,no,yes,retained fork
backend/ent/group.go,fork-only,no,yes,retained fork
backend/ent/group/group.go,fork-only,no,yes,retained fork
backend/ent/group/where.go,fork-only,no,yes,retained fork
backend/ent/group_create.go,fork-only,no,yes,retained fork
backend/ent/group_update.go,fork-only,no,yes,retained fork
backend/ent/hook/hook.go,fork-only,no,yes,retained fork
backend/ent/intercept/intercept.go,fork-only,no,yes,retained fork
backend/ent/migrate/schema.go,fork-only,no,yes,retained fork
backend/ent/mutation.go,fork-only,no,yes,retained fork
backend/ent/predicate/predicate.go,fork-only,no,yes,retained fork
backend/ent/runtime/runtime.go,fork-only,no,yes,retained fork
backend/ent/schema/group.go,fork-only,no,yes,retained fork
backend/ent/schema/subscription_daily_reset_event.go,fork-only,no,yes,retained fork
backend/ent/schema/user_subscription.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent/subscriptiondailyresetevent.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent/where.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent_create.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent_delete.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent_query.go,fork-only,no,yes,retained fork
backend/ent/subscriptiondailyresetevent_update.go,fork-only,no,yes,retained fork
backend/ent/tx.go,fork-only,no,yes,retained fork
backend/ent/usersubscription.go,fork-only,no,yes,retained fork
backend/ent/usersubscription/usersubscription.go,fork-only,no,yes,retained fork
backend/ent/usersubscription/where.go,fork-only,no,yes,retained fork
backend/ent/usersubscription_create.go,fork-only,no,yes,retained fork
backend/ent/usersubscription_update.go,fork-only,no,yes,retained fork
backend/go.sum,fork-only,no,yes,retained fork
backend/internal/config/config.go,upstream-only,yes,no,exact upstream
backend/internal/config/config_test.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/account_handler.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/account_handler_long_context_billing_test.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/account_opencode_go_usage.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/account_opencode_go_usage_test.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/affiliate_handler.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/affiliate_handler_withdraw_test.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/backup_handler.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/channel_handler.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/channel_handler_test.go,upstream-only,yes,no,exact upstream
backend/internal/handler/admin/content_moderation_engine_test.go,upstream-only,yes,no,exact upstream
